#,N1 $ (1),N2 $ (2),N3 $ (3),N4 $ (4),C1 $ (5),C2 $ (6),W1 $ (7),W2 $ (8),S1 $ (9),S2 $ (10),S3 $ (11),S4 $ (12),E1 $ (13),E2 $ (14),NE1 $ (15),NE2 $ (16)
N1 $ (1),5,5,7,8,6,6,8,9,7,7,9,10,8,8,10,11
N2 $ (2),6,6,8,9,7,7,9,10,8,8,10,11,9,9,11,12
N3 $ (3),7,7,9,10,8,8,10,11,9,9,11,12,10,10,12,13
N4 $ (4),8,8,10,11,9,9,11,12,10,10,12,13,11,11,13,14
C1 $ (5),9,9,11,12,10,10,12,13,11,11,13,14,12,12,14,15
C2 $ (6),10,10,12,13,11,11,13,14,12,12,14,15,13,13,15,16
W1 $ (7),11,11,13,14,12,12,14,15,13,13,15,16,14,14,16,17
W2 $ (8),12,12,14,15,13,13,15,16,14,14,16,17,15,15,17,18
S1 $ (9),13,13,15,16,14,14,16,17,15,15,17,18,16,16,18,19
S2 $ (10),14,14,16,17,15,15,17,18,16,16,18,19,17,17,19,20
S3 $ (11),15,15,17,18,16,16,18,19,17,17,19,20,18,18,20,21
S4 $ (12),16,16,18,19,17,17,19,20,18,18,20,21,19,19,21,22
E1 $ (13),17,17,19,20,18,18,20,21,19,19,21,22,20,20,22,23
E2 $ (14),18,18,20,21,19,19,21,22,20,20,22,23,21,21,23,24
NE1 $ (15),19,19,21,22,20,20,22,23,21,21,23,24,22,22,24,25
NE2 $ (16),20,20,22,23,21,21,23,24,22,22,24,25,23,23,25,26
